店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
麗枫酒店(武汉金银湖轻工大学店),环湖中路与马池中路交叉口处新城璟汇一期1号,30.656732,114.22638,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
武汉航天商务宾馆,马池中路航天兴隆国际1期7栋1-2层,30.657663,114.226608,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
沿海之星假日酒店(武汉金银湖轻工大学东门店),马池路特1号(丽水幼儿园旁),30.650623,114.225632,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
沿海城市连锁酒店(武汉金银湖轻工大店),马池中路9号汉口印象11栋(轻工大学后门),30.656006,114.219479,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
武汉军军旅馆,马池路环湖中路特1号(丽水育才幼儿园旁),30.650743,114.225656,东西湖区,武汉市,湖北省,住宿服务;旅馆招待所;旅馆招待所
丁香酒店(武汉轻工大学金银湖校区店),环湖路73号银湖水榭,30.660535,114.21554,东西湖区,武汉市,湖北省,住宿服务;住宿服务相关;住宿服务相关
EHA萤火电竞酒店(武汉东西湖常青花园店),马池路银湖九号A座19层,30.649366,114.219715,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
武汉荣盛精品酒店,环湖路73号附7(银湖水榭公交站旁),30.661909,114.215165,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
银湖九号旅馆(武汉轻工大学店),马池路银湖九号A座504(武汉轻工大学南门对面),30.649503,114.21965,东西湖区,武汉市,湖北省,住宿服务;住宿服务相关;住宿服务相关
城市便捷酒店,常青花园康居五路2号金银潭地铁站B2四楼,30.650221,114.243127,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;经济型连锁酒店
芮曦公寓(联通路分店),联通路万科高尔夫城市花园-8807栋,30.64635,114.214391,东西湖区,武汉市,湖北省,住宿服务;住宿服务相关;住宿服务相关
常青宾馆(常青花园店),学府南路126号5层,30.638462,114.2346,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
CITY城市·影院酒店(武汉常青城地铁站店),车场南路地铁时代常青城C6栋11楼28号房,30.658874,114.253051,东西湖区,武汉市,湖北省,住宿服务;住宿服务相关;住宿服务相关
香舍影院酒店(武汉极地海洋常青城地铁站店),将军路街道金银潭大道以北地铁时代常青城二期C区C6号楼一单元329室,30.653169,114.24624,东西湖区,武汉市,湖北省,住宿服务;住宿服务相关;住宿服务相关
曼悦空间创意影院酒店(武汉东西湖极地海洋公园常青城地铁站店),车场南路地铁时代常青城C6栋17楼1728,30.658911,114.253366,东西湖区,武汉市,湖北省,住宿服务;住宿服务相关;住宿服务相关
香缦影院酒店,金银潭大道43号(常青城地铁站A口步行390米),30.65898,114.253375,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
永红主题宾馆(武汉轻工大学西门店),学府南路100号3层,30.637709,114.234661,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
武汉聚鑫商务宾馆,将军路47号,30.64842,114.252715,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
武汉豪庭宾馆,将军一路新村58号,30.652024,114.253501,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
好客来宾馆(武汉将军路店),将军路49号,30.648428,114.252775,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
洪源假日酒店(武汉海昌极地海洋世界店),华星晨龙城C区,30.643825,114.253585,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
欧亚会展国际酒店,金银湖路20号,30.64027,114.205876,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;五星级宾馆
精途酒店(武汉极地海洋常青城地铁站店),将军四路9号,30.657984,114.260452,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;经济型连锁酒店
汉庭优佳酒店(武汉海昌极地海洋世界店),将军路146-12号,30.6497,114.257716,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;经济型连锁酒店
阆苑美宿子淇公寓(金山大道分店),金山大道万科高尔夫城市花园2期,30.640916,114.212129,东西湖区,武汉市,湖北省,住宿服务;住宿服务相关;住宿服务相关
麗枫酒店(武汉极地海洋世界常青花园店),将军路华星融城c区8栋一楼,30.64251,114.254664,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
银海商务酒店(武汉金银湖地铁站),金银湖北街碧海花园3号附30号,30.648089,114.199212,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
武汉金银湖亚朵酒店,金银湖北街8号金福祥商务大厦(创新中心大厦),30.646911,114.198849,东西湖区,武汉市,湖北省,住宿服务;住宿服务相关;住宿服务相关
金银湖商务宾馆,金南一路卧龙丽景湾一期206幢2层240号,30.63198,114.224807,东西湖区,武汉市,湖北省,住宿服务;宾馆酒店;宾馆酒店
