店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
庭瑞五方馆共享棋牌,池中路9号家美天晟阳光城(汉口印象)二期B23号楼/单元2层商145,30.657915,114.224,东西湖区,武汉市,湖北省,体育休闲服务;娱乐场所;棋牌室
顶点台球俱乐部,环湖中路航天兴隆国际商业街,30.657401,114.22654,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;台球厅
联赢棋牌俱乐部,金拓银湖时代G1商铺五号,30.656261,114.226722,东西湖区,武汉市,湖北省,体育休闲服务;娱乐场所;棋牌室
1+健身私教馆(金银湖旗舰店),金银湖街道璟汇路联通佳苑四栋外56号商铺,30.655505,114.231986,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;健身中心
唯玩篮球公园武汉旗舰店,马池中路庭悦荟B5座四楼,30.657824,114.224855,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;综合体育馆
任意健身金银湖庭瑞新汉口,环湖中路庭瑞新汉口售楼处,30.659164,114.22457,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;健身中心
任意游泳健身(金银湖店),环湖中路庭瑞新汉口售楼处,30.659163,114.224518,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;健身中心
楠门红棋牌,马池北路与环湖中路交叉口西80米,30.661567,114.224589,东西湖区,武汉市,湖北省,体育休闲服务;娱乐场所;棋牌室
脊动力(汉口印象中心店),金银潭马池中路9号家美天晟阳光城(汉口印象)二期B2.3号楼/单元三层层商678商铺,30.657712,114.223459,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;健身中心
武汉轻工大学金银湖校区体育场,环湖中路36号武汉轻工大学金银湖校区,30.654967,114.224578,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;运动场所
庭悦荟恐龙乐园(美吉乐),二号路汉口印象,30.657357,114.222973,东西湖区,武汉市,湖北省,体育休闲服务;娱乐场所;娱乐场所
网咖有鱼(轻工大学店),沿海丽水佳园三期商铺C1-1-21,30.653531,114.225746,东西湖区,武汉市,湖北省,体育休闲服务;娱乐场所;网吧
中影文和巨幕影城,金银湖庭瑞新汉口B1栋3层,30.657077,114.222603,东西湖区,武汉市,湖北省,体育休闲服务;影剧院;电影院
武汉轻工大学金银湖校区篮球场,外环北路与外环东路交叉口东80米,30.654929,114.223657,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;篮球场馆
风雅轩棋牌,汉口印象东北门东北170米,30.658119,114.222424,东西湖区,武汉市,湖北省,体育休闲服务;娱乐场所;棋牌室
丽水佳园游泳馆(金银湖店),马池路特1号丽水家园(近武汉工业学院东门),30.652672,114.226677,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;游泳馆|体育休闲服务;休闲场所;休闲场所
武汉轻工大学金银湖校区篮球场,外环东路与外环北路交叉口东60米,30.654914,114.223475,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;篮球场馆
武汉轻工大学金银湖校区篮球场,外环东路与积学路交叉口北160米,30.653845,114.224097,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;篮球场馆
金瑞丰棋牌,李家墩社区金湖苑东门北130米,30.659728,114.221944,东西湖区,武汉市,湖北省,体育休闲服务;娱乐场所;棋牌室
彦博网咖,金湖苑小区东南门东140米,30.657618,114.22164,东西湖区,武汉市,湖北省,体育休闲服务;娱乐场所;网吧
武汉轻工大学金银湖校区体育馆,马池路武汉工业学院金银湖校区,30.652956,114.224668,东西湖区,武汉市,湖北省,体育休闲服务;运动场馆;综合体育馆
吸猫体质咖啡馆,美联·奥林匹克花园1期1区2栋1-2层3号,30.652376,114.234072,东西湖区,武汉市,湖北省,体育休闲服务;娱乐场所;酒吧|餐饮服务;咖啡厅;咖啡厅
