店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
武汉金湖擎天市政建设工程有限公司,环湖中路92号,30.660934,114.226388,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉汉高恒裕物业管理有限公司,环湖中路92号,30.660919,114.226339,东西湖区,武汉市,湖北省,公司企业;公司;公司
初苒建筑劳务有限公司,径河街道十字东街7号,30.657925,114.225237,东西湖区,武汉市,湖北省,公司企业;公司;公司
联盛清洁公司,金银湖街道环湖中路92号联盛清洁公司,30.660746,114.225711,东西湖区,武汉市,湖北省,公司企业;公司;公司
中建武汉水环境有限公司,金银湖街道丽水社区马池东路新澳阳光城北侧270米 机场河CSO调蓄及强化处理设施,30.662579,114.230789,东西湖区,武汉市,湖北省,公司企业;公司;公司
馨尚佳装饰庭瑞新汉口分公司,庭瑞新汉口南门东60米,30.65867,114.224074,东西湖区,武汉市,湖北省,公司企业;公司企业;公司企业
中建三局集团有限公司,S18机场高速与S18机场高速出口交叉口西360米,30.663295,114.228808,东西湖区,武汉市,湖北省,公司企业;公司;公司
宜品居装饰(东西湖店),庭悦荟商业街B3栋4楼,30.657864,114.22381,东西湖区,武汉市,湖北省,公司企业;公司;广告装饰
武汉轻工大学金工实习厂,外环北路与外环东路交叉口东北160米,30.656044,114.224161,东西湖区,武汉市,湖北省,公司企业;工厂;工厂
壹粟坊(武汉面塑传习中心),马池路都市假日小区15栋1-101号,30.653333,114.231501,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉憨憨熊设计有限公司,二号路与马池西路交叉口东北140米,30.658258,114.223379,东西湖区,武汉市,湖北省,公司企业;公司;公司
宠贝康宠物诊疗有限公司,马池北路万丰丰泽园,30.661397,114.224145,东西湖区,武汉市,湖北省,公司企业;公司;公司
梁湖之芯生态农业发展有限公司,美联奥林匹克花园4期西门南100米,30.654187,114.234569,东西湖区,武汉市,湖北省,公司企业;公司;公司
优印堂图文广告,环湖中路22号万丰丰泽园二期29栋1-2层,30.661063,114.223343,东西湖区,武汉市,湖北省,公司企业;公司;广告装饰
武汉翊晖科技有限公司,马池中路9号庭瑞新汉口B1栋1701室,30.65759,114.22259,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉聚鑫融合商务有限公司,环湖中路庭瑞新汉口二期B1栋607室,30.657496,114.22245,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉晟世元物业管理有限公司汉口印象物业服务中心,二号路与马池西路交叉口西南120米,30.657086,114.221116,东西湖区,武汉市,湖北省,公司企业;公司;公司
挚爱广告,金银角再生资源市场院内,30.665266,114.234858,东西湖区,武汉市,湖北省,公司企业;公司;广告装饰
武汉梦林科技,马池西路与马池中路交叉口西北120米,30.656883,114.22104,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉艾斯欧科技有限公司,马池路汉口印象2栋2单元2305室,30.656593,114.221016,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉嘉诚钧晟电力工程有限公司,奥园东路华师附中美联学校旁,30.656741,114.238795,东西湖区,武汉市,湖北省,公司企业;公司;公司
创新装饰,二号路与汀香北路交叉口东北140米,30.657449,114.22004,东西湖区,武汉市,湖北省,公司企业;公司;广告装饰
杭州友笑贸易有限公司,都市假日32-1,30.6499,114.230229,东西湖区,武汉市,湖北省,公司企业;公司;商业贸易
金银湖红色物业,金海路与环湖中路交叉口西140米,30.665892,114.223912,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉金银角再生资源有限公司,常青北路常青队马池二村,30.665663,114.23619,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉公交石油,金银潭大道与常青北路交叉口东北160米,30.649996,114.23481,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉奥美林清洁有限公司,汀香北路与马池北路交叉口北200米,30.660901,114.218846,东西湖区,武汉市,湖北省,公司企业;公司;公司
美食制造厂,金银潭大道与康居四路交叉口西北220米,30.650526,114.236675,东西湖区,武汉市,湖北省,公司企业;工厂;工厂
艮兴顺发商贸有限公司,外环北路36号靠近武汉轻工大学金银湖校区,30.655935,114.218405,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉枣沐信息科技有限公司,武汉轻工大学金银湖校区经济楼404,30.651639,114.221,东西湖区,武汉市,湖北省,公司企业;公司;网络科技
武汉市江汉区陶氏志诚皮鞋加工点,常青公园华安里社区新三路55号,30.661594,114.218285,东西湖区,武汉市,湖北省,公司企业;公司企业;公司企业
瑞隆建筑装饰,马池路与环湖中路交叉口西140米,30.649384,114.223829,东西湖区,武汉市,湖北省,公司企业;公司;广告装饰
轻工大学公司工程,外环西路武汉轻工大学(金银湖校区),30.652029,114.219775,东西湖区,武汉市,湖北省,公司企业;公司企业;公司企业
武汉搏今管理咨询有限公司,金银湖环湖路升华现代城三期C3-1-302,30.656215,114.216991,东西湖区,武汉市,湖北省,公司企业;公司;公司
天马建设,金银潭大道奥园东路永旺超市东侧奥园六期项目部,30.651637,114.239875,东西湖区,武汉市,湖北省,公司企业;公司企业;公司企业
东西湖区机场河流域临时分散式水处理服务项目部,李家墩路,30.669859,114.22996,东西湖区,武汉市,湖北省,公司企业;公司;公司
金银湖红色物业管理有限责任公司马池三期服务中心,马池北路与环湖路辅路交叉口东120米,30.657814,114.216346,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉金湖绿森园艺有限公司环湖苗圃,亲湖路与马池西路交叉口西北180米,30.667067,114.220194,东西湖区,武汉市,湖北省,公司企业;农林牧渔基地;其它农林牧渔基地
武汉修德堂健康管理有限公司,马池路银湖九号B座1511室,30.649304,114.22076,东西湖区,武汉市,湖北省,公司企业;公司;公司
武汉市喝彩科技有限责任公司,金银湖街道环湖中路158号当代电子硅谷五栋五单元三楼,30.668022,114.221181,东西湖区,武汉市,湖北省,公司企业;公司;公司
