店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
武汉市东西湖李文清中医科诊所,新城璟汇环湖中路181号附17号,30.658098,114.227244,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
雅欣口腔门诊,环湖中路马池中路兴隆国际1-商12,30.658017,114.227486,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
益丰大药房(武汉马池中路分店),马池中路南、环湖路东航天·兴隆国际一期7栋/单元1层商业2室,30.657756,114.226726,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
国泰君安大药房,马池中路与环湖中路交叉口东100米,30.657799,114.226814,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
佳美康鼻炎馆(联通佳苑店),马池中路以南环湖中路以东联通佳苑第2栋1单元1层3号房附1号,30.655594,114.230071,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
药店,璟汇路北40米,30.655664,114.230307,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
养天和大药房(航天兴隆店),环湖中路马池中路航天兴隆国际7号1楼,30.657299,114.226562,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
德正堂大药房,璟汇路与马池东路交叉口西200米,30.655593,114.23023,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
美加美口腔门诊部,环湖中路联通佳苑小区1号楼,30.655493,114.229347,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
京同中西医结合科诊所,马池中路金拓银湖G1-910商铺,30.656426,114.226352,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
茗生大药房,璟汇路北30米,30.65557,114.226405,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
小儿圆推拿,环湖中路36号G2-9,30.655559,114.226375,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
美见兮,二号路与环湖中路交叉口西100米,30.65867,114.22426,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
同济堂(国际丽都药店),庭瑞新汉口南门旁,30.658511,114.223857,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
脊动力东西湖店,金银潭马池中路9号庭悦荟B2栋3楼,30.657837,114.223433,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
抚芳堂,二号路与马池西路交叉口东北140米,30.658346,114.223333,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
武汉东西湖甫草堂中医科诊所,金银湖办事处环湖中路22号丰泽园二期30栋及社区服务用房1-2层商10号,30.661392,114.224185,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
优宠贝康宠物诊疗,环湖中路170号8号商铺,30.661397,114.224145,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;宠物诊所
康尔佳药房,金银湖办事处环湖中路马池北路万丰丰泽园29栋,30.661287,114.223929,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
益丰大药房,二号路与马池西路交叉口东北80米,30.65818,114.222747,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
张仲景国艾堂,马池北路万丰丰泽园29栋,30.661086,114.223401,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
好药师大药房(庭瑞店),汉口印象东北门东北160米,30.658087,114.222441,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
天年健大药房(轻工大学店),环湖西路,30.6531,114.225841,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
益安堂医药有限公司,美联·奥林匹克花园西北2门东北80米,30.653672,114.234436,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
圣康堂,奥园东路与奥园路交叉口西北280米,30.657643,114.236977,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
和田门诊口腔科(金银湖店),马池北路银湖苑(汉口印象公交站北),30.658604,114.221954,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
