店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
新城璟汇,金银湖街道环湖中路马池中路,30.657823,114.229487,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
新澳阳光城,金银湖马池路特5号,30.659956,114.229791,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
联通佳苑,马池路工业学院新校区对面,30.656264,114.230533,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
金拓·银湖时代,马池中路与四号路交汇处马池小学旁,30.655872,114.227186,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅区
庭瑞新汉口,马池中路9号,30.65843,114.223093,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
沿海丽水佳园,金银湖马池路特1号,30.652455,114.227622,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
都市假日,金银湖马池路特1号,30.651992,114.230476,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
万丰·丰泽园,环湖中路与马池路交汇处,30.662722,114.223661,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅区
沿海丽水佳园1、2期,马池路特1号,30.652004,114.226499,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
越秀·逸府,金银潭奥园东路美联奥林匹克花园五期后面,30.658514,114.237807,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
武汉轻工大学金银湖校区金湖公寓,武汉轻工大学,30.654432,114.222592,东西湖区,武汉市,湖北省,商务住宅;住宅区;宿舍
金湖苑小区,金银湖街金湖苑小区(马池还建小区附近)附近,30.658347,114.220614,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
美联·奥林匹克花园,常青花园公交总站西路2号,30.652926,114.236551,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
沿海丽水佳园4期,马池路特1号,30.650267,114.22648,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
丽水佳园2期,马池路与环湖中路交叉口东北100米,30.650272,114.226459,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
丽水佳园3区,马池路特1号,30.650267,114.22647,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
金银湖别墅,环湖路69号,30.661857,114.220306,东西湖区,武汉市,湖北省,商务住宅;住宅区;别墅
金海苑,金银湖街亲湖路2号,30.665627,114.223187,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
金地北辰阅风华,奥园东路以东金银潭大道以北,30.65499,114.240116,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
武汉轻工大学金银湖校区研究生宿舍,外环西路与外环北路交叉口西南40米,30.653719,114.219839,东西湖区,武汉市,湖北省,商务住宅;住宅区;宿舍
武汉轻工大学金银湖校区9号学生公寓,外环西路与外环北路交叉口西南60米,30.653591,114.219896,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
银湖苑,环湖路西黄金海岸,30.657754,114.218136,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
东兴华庭,汀香北路与二号路交叉口西80米,30.656241,114.218241,东西湖区,武汉市,湖北省,商务住宅;商务住宅相关;商务住宅相关
美联·奥公馆(建设中),奥园东路5号附26号,30.652916,114.239767,东西湖区,武汉市,湖北省,商务住宅;商务住宅相关;商务住宅相关
银海苑小区,环湖路与马池北路交叉口东150米,30.657721,114.21671,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
智艺小镇,金银潭大道1号永旺超市三楼,30.650749,114.239118,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅区
银湖水榭,马池路与环湖路交汇(武汉工业学院附近),30.66153,114.217013,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅区
航天·银湖湾,马池路金银湖管委会,30.648577,114.222701,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅区
升华现代城,金银湖环湖路武汉工业学院旁恋湖家园对面,30.655135,114.216119,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
银湖9号,马池路,30.649374,114.220085,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
武汉教育电视台演播大楼,金银潭大道5号常青一中,30.65307,114.242739,东西湖区,武汉市,湖北省,商务住宅;楼宇;商务写字楼
汀香水榭,金银湖环湖路81号,30.65258,114.216618,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅区
金银湖科技园,环湖一路与环湖中路交叉口西100米,30.669233,114.221957,东西湖区,武汉市,湖北省,商务住宅;产业园区;产业园区
明伟宏产业园,湖北省武汉市东西湖区将军路街姑李路433号,30.655357,114.244211,东西湖区,武汉市,湖北省,商务住宅;产业园区;产业园区
THE DREAM CITY,姑李路与碧水南路交叉口东260米,30.658498,114.24576,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
恋湖家园1期,吴家山恋湖家园恋湖,30.654572,114.213512,东西湖区,武汉市,湖北省,商务住宅;商务住宅相关;商务住宅相关
常青花园4区,学府北路与康居四路交叉口西160米,30.645471,114.237782,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅小区
黄金海岸,环湖路70号(金山大道北金银湖东岸马池处)黄金海岸附近,30.659468,114.212488,东西湖区,武汉市,湖北省,商务住宅;住宅区;住宅区
恋湖家园4期,恋湖小区恋湖,30.657258,114.212417,东西湖区,武汉市,湖北省,商务住宅;商务住宅相关;商务住宅相关
