店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
东西湖区金银湖街丽水社区服务站,联通佳苑南1门旁,30.65559,114.230671,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
丽水社区党员群众服务中心,马池中路105号联通佳苑3号楼门面,30.65559,114.230716,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|生活服务;生活服务场所;生活服务场所
丽水社区应急服务站,联通佳苑,30.655581,114.230742,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|生活服务;生活服务场所;生活服务场所
丽水社区居委会,金银湖街马池中路105号联通佳苑3号楼门面,30.655579,114.230797,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
中共丽水社区委员会,联通佳苑3号楼门面,30.655578,114.230845,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
金银湖街丽水社区退役军人服务站,璟汇路与马池东路交叉口西140米,30.655578,114.230866,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
丽水社区退役军人服务站,联通佳苑南3门旁,30.655578,114.230866,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
东西湖区金银湖街老年人体育协会,联通佳苑南3门旁,30.655588,114.230959,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;社会团体相关
东西湖公安分局金银湖派出所丽水社区警务室,金银湖办事处环湖中路105附23-24号,30.655581,114.23096,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
金银湖街关心下一代工作委员会,联通佳苑南3门旁,30.655587,114.231128,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
中共金银湖劳务服务有限公司支部委员会,环湖中路92号,30.660724,114.225724,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;社会团体相关
东西湖区将军路街道马池墩社区退役军人服务中心,奥园西路5号,30.657949,114.235092,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
马池墩社区党员群众服务中心,美联·奥林匹克花园5期西门旁,30.657938,114.235243,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|生活服务;生活服务场所;生活服务场所
将军路街派出所马池墩社区警务室,美联·奥林匹克花园5期西门旁,30.657861,114.235249,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;社会治安机构
将军路派出所马池社区警务室,美联奥林匹克花园五期西门口,30.657776,114.235269,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
中共马池墩社区支部委员会,常青北路美联奥林匹克花园5期,30.657838,114.235283,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
亲湖社区党员群众服务中心,环湖中路176号,30.660605,114.223742,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
东西湖区金银湖街亲湖社区退役军人服务站,环湖中路176号庭瑞新汉口11栋,30.660614,114.223651,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
金银湖派出所轻工大学治安室,外环东路武汉轻工大学(金银湖校区),30.654601,114.223928,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
东西湖区打击传销欺诈办公室,李家墩社区金湖苑东门东北90米,30.659396,114.221913,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
湖北省援藏干部之家,常青北路与奥园路交叉口南300米,30.652681,114.234701,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;社会团体相关
中共武汉晟世元物业管理有限公司支部委员会,马池西路与马池中路交叉口西北120米,30.656964,114.221178,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
湖北省监察委员会驻武汉轻工大学监察专员办公室,武汉轻工大学,30.652027,114.224628,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
武汉美联奥林匹克花园运动城业主委员会,S18机场高速附近,30.651333,114.234693,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;社会团体相关
金银湖街道退役军人服务站,金银湖街金苑街7号附69号,30.65684,114.219785,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
武汉轻工大学国家职业技能鉴定所(外环北路),外环北路武汉轻工大学(金银湖校区),30.653832,114.221038,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公证鉴定机构
东西湖区金银湖街政务服务中心,二号路,30.656881,114.219513,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
金银湖街民呼我应指挥中心,金湖苑小区东南门西100米,30.656934,114.219452,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
武汉市东西湖区金银湖街道党群服务中心,汀香北路金湖苑小区,30.656858,114.219456,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
李家墩社区居民之家,汀香北路银湖苑,30.65769,114.219049,东西湖区,武汉市,湖北省,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
学府社区志愿者服务工作站,汀香北路银湖苑,30.657792,114.21887,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
中共李家墩社区委员会,汀香北路与二号路交叉口北140米,30.657627,114.218858,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
学府社区居委会,汀香北路5号附17号,30.657673,114.218823,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
东西湖区金银湖街学府社区退役军人服务站,金银湖街汀香北路附5号,30.657679,114.218816,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
金银湖派出所李家墩学府社区警务室,汀香北路银湖苑,30.657608,114.218787,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;社会治安机构|政府机构及社会团体;公检法机构;公安警察
航天·银湖湾社区警务室,马池路与环湖中路交叉口东南40米,30.649529,114.225759,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
金银湖派出所东兴华庭项目部治安室,汀香北路与二号路交叉口南60米,30.655864,114.218893,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公检法机关
金银湖派出所李家墩社区驻勤室,环湖路71号附近,30.658641,114.217544,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公检法机关
将军路街派出所永旺梦乐城警务室,金银潭大道1号永旺梦乐城武汉金银潭店1F层,30.650757,114.237984,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
金银湖派出所,马池中路5号,30.655206,114.217978,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
金银湖街城管执法队,马池路2号,30.657888,114.217019,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
湖北省粮食经济学会,外环西路武汉轻工大学(金银湖校区),30.650687,114.220694,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;社会团体相关
东西湖区人民政府金银湖街道办事处城管所,马池北路与环湖路辅路交叉口东180米,30.658041,114.216923,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
中共金银湖街道办事处城关所支部委员会,马池北路与环湖路辅路交叉口东180米,30.658039,114.216913,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
东西湖区金银湖街综合执法中心,金苑街7号附151号,30.658127,114.216908,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
金银湖街群众信访接待服务中心,马池路特8号,30.649746,114.221837,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
金银湖街道劳动争议调解中心,马池路与汀香南路交叉口东260米,30.649636,114.221797,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
东西湖区政协金银湖街联络委员会,金银湖东西湖区政府金银湖街道办事处,30.649695,114.221432,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
东西湖区金银湖水利风景区管理处,马池路特8号,30.649555,114.221575,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;区县级政府及事业单位
武汉市东西湖区粤创消防救援站,环湖一路与环湖中路交叉口,30.668157,114.222723,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;消防机关
