店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
湖北省武汉市东西湖区环湖中路181号浩鑫汽车美容,马池中路与环湖中路交叉口东280米,30.658185,114.228608,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
依威能源汽车充电站(新城璟汇),金银湖街道环湖中路39-1号,30.658439,114.231331,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
河马自助洗车(联通佳苑店),马池东路与璟汇路交叉口北200米,30.65709,114.231779,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
妙好环境自助洗车(新城璟汇站),马池中路新城璟汇东门向北前行50米,30.658379,114.232785,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
宝驰胜汽车维修服务中心,璟汇路联通佳苑1栋3号,30.655494,114.229201,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场|汽车维修;汽车维修;汽车维修
万里VIP专业美车养护中心,联通佳苑南3门旁,30.655485,114.228988,东西湖区,武汉市,湖北省,汽车服务;洗车场;洗车场
途虎养车工场店(武汉马池北路店),万丰·丰泽园东南门东100米,30.661708,114.224897,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
依威能源汽车充电站(丽水佳园B区),金银湖马池路特1号丽水佳园B区,30.652535,114.228664,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
汽车充电站(长峡快道庭瑞新汉口站),金银湖街道二号路庭瑞新汉口C区,30.65795,114.22269,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
依威能源汽车充电站(美联奥林匹克花园二期D区),环湖中路美联奥林匹克花园二期D区,30.654197,114.234805,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
依威能源汽车充电站(丽水佳园D区),马池路特1号丽水佳园D区,30.65173,114.226871,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
依威能源汽车充电站(丽水佳园A区),马池特路1号丽水佳园A区,30.651149,114.228113,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
闪开·来电新能源充电站,马池西路与马池北路交叉口北200米,30.662286,114.222272,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
中和顺汽车服务中心,金银湖街道金湖苑商铺22栋14-17号,30.657436,114.22121,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
途虎养车工场店(武汉奥园路店),将军路街道奥园西路2号美联•奥林匹克花园四期3栋单元1层商7-14,30.655243,114.237498,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
轮胎电瓶,沿海丽水佳园西1门南240米,30.650817,114.225645,东西湖区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
依威能源汽车充电站(美联奥林匹克花园二期C区),金银潭大道美联奥林匹克花园二期C区,30.653612,114.23833,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
哪儿充充电站(银湖苑站),金银湖街道汀香北路银湖苑小区门口,30.657432,114.219022,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
依威能源汽车充电站(美联奥林匹克花园二期A区),奥园东路美联奥林匹克花园二期A区,30.652709,114.238723,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
蔚来能源汽车充电站(蔚来超充站武汉金银潭永旺),,30.64995,114.235677,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
惠众便民公共自助洗车站(永旺站),奥园东路花鸟市场旁,30.65087,114.240526,东西湖区,武汉市,湖北省,汽车服务;洗车场;洗车场
途虎养车工场店(武汉环湖路店),环湖路73号附19号,30.660451,114.21557,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
途虎养车工场店(武汉马池路店),马池路银湖九号,30.64954,114.219429,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
德国马牌轮胎(极速汽车服务中心),环湖路升华现代城C1栋,30.655586,114.215131,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场|汽车维修;汽车综合维修;汽车综合维修
哪儿充汽车充电站,金银潭地铁站A出口旁停车场内,30.651609,114.242301,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
武汉捌零人汽车服务有限公司,金银湖环一路水印桃源15栋,30.665642,114.21719,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
一洗来洗车金银潭洗车站,金银潭大道与康居五路交叉口西北120米,30.651543,114.242645,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
海源轮胎,水印桃源南门东70米,30.665583,114.216591,东西湖区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
旺驾10元洗车(升华现代城店),德马名车旁,30.653904,114.215089,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
自助洗车,环湖一路水印桃源南门十四栋65号附31号,30.665528,114.216443,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
米其林轮胎(环湖一路店),水印桃源南门旁,30.665431,114.216098,东西湖区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
哪儿充充电站(金银潭站),金银潭大道与康居五路交叉口西北20米,30.650812,114.243087,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
汽车充电站(快象·金银潭),将军路街道新形驾校金银潭训练基地武汉市常青第一中学,30.650834,114.243137,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
武汉机场高速充电站,车场南路机场二通道桥下,30.656278,114.245581,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
金宇汽车美容养护中心,将军路街姑李路425号梧桐树工薪小区门口,30.65272,114.246503,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
哪儿充汽车充电站(学府北路新康苑站),学府北路新康苑17栋旁,30.647004,114.242297,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
百援汽车美容维修,常青花园二十五村东北门旁,30.643667,114.236973,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
依威能源汽车充电站(凯旋名居),姑李公路与S19机场二高速交叉口东150米凯旋名居,30.653888,114.247707,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
天猫养车(常青花园店),康居三路58-60号,30.643415,114.237386,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场|汽车维修;汽车维修;汽车维修
国家电网汽车充电站(湖北省武汉市东西湖区凯旋名居),金银潭大道7号,30.653903,114.247741,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
哪儿充汽车充电站(常青花园15村1站),学府北路常青花园15村33栋旁,30.642924,114.235366,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
倍耐力轮胎,康居三路与康居三路一巷交叉口西40米,30.64324,114.237719,东西湖区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
途虎养车认证店(武汉常青花园店),金苑西南门西50米,30.64319,114.237804,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
千元战神二手车,车场南路,30.657597,114.249234,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
