店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
菜鸟驿站(武汉新城璟汇13栋1-102店),金银湖街道马池东路新城璟汇二期13栋1单元102,30.65817,114.23011,东西湖区,武汉市,湖北省,生活服务;物流速递;物流速递
菜鸟驿站(武汉新城璟汇二期17栋店),金银湖街道马池中路新城璟汇2期17栋102房,30.658506,114.230589,东西湖区,武汉市,湖北省,生活服务;物流速递;物流速递
菜鸟驿站(武汉新城璟汇13栋店),金银湖街道马驰中路新城璟汇东区13栋1单元103,30.65831,114.23065,东西湖区,武汉市,湖北省,生活服务;物流速递;物流速递
菜鸟驿站(武汉新澳阳光城17号商铺店),金银湖街道马池中路15号新澳阳光城15号附17号,30.659405,114.229686,东西湖区,武汉市,湖北省,生活服务;物流速递;物流速递
住商不动产(新城璟汇店),东西湖金银湖马池中路,航天兴隆国际1-1-16商铺,30.658003,114.227638,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
潮流汇烫染专业店,航天·兴隆国际北门西120米,30.657976,114.227584,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
德佑(新城璟汇旗舰店),环湖中路181号附20号,30.657967,114.227494,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
HeLing欧莱雅专业发型设计工作室(航天·兴隆国际店),航天兴隆国际4栋1单元404,30.656792,114.228336,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
学雷锋志愿服务工作站,环湖中路与二号路交叉口东200米,30.658951,114.227326,东西湖区,武汉市,湖北省,生活服务;生活服务场所;生活服务场所
菜鸟驿站(武汉兴隆国际店),金银湖街道马池中路兴隆国际1号楼2单元1楼,30.65797,114.2273,东西湖区,武汉市,湖北省,生活服务;物流速递;物流速递
木木桃喜(新城璟汇二期店),金银湖街道环湖中路107号航天兴隆国际二期19栋2单元12层2,30.65837,114.232201,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
乐颐养生驻颜馆(航天·兴隆国际店),环湖中路马池中路航天兴隆国际7栋商铺,30.657393,114.226542,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
学雷锋志愿服务岗,璟汇路与马池东路交叉口西200米,30.655545,114.230337,东西湖区,武汉市,湖北省,生活服务;生活服务场所;生活服务场所
丽水社区应急服务站,联通佳苑,30.655581,114.230742,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|生活服务;生活服务场所;生活服务场所
丽水社区江城蜂巢,马池中路105号,30.655586,114.230783,东西湖区,武汉市,湖北省,生活服务;生活服务场所;生活服务场所
可莉秀形象工作室(航天·兴隆国际店),马池中路轻工大学旁(航天兴隆国际丽枫酒店旁),30.657057,114.226513,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
众家诚地产(新城璟汇分行),环湖中路东马池中路南航天兴隆国际一期6栋1-2层1-1号,30.656912,114.22637,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
国家电网(东西湖鑫桥供电营业厅),环湖中路94号,30.658438,114.225848,东西湖区,武汉市,湖北省,生活服务;电力营业厅;电力营业厅
诺家地产(金拓·银湖时代店),金拓银湖时代G2-25,30.655666,114.227566,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
风之王装饰,金拓银湖时代南门东70米,30.655419,114.227906,东西湖区,武汉市,湖北省,生活服务;生活服务场所;生活服务场所
住商不动产(金拓·银湖时代店),金拓银湖时代南门旁,30.655552,114.227544,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
妈妈驿站(联通佳苑店),璟汇路与马池东路交叉口西北60米,30.655533,114.231774,东西湖区,武汉市,湖北省,生活服务;物流速递;物流速递
联通佳苑菜鸟驿站,金银湖街道璟汇路联通佳苑4号楼门面,30.655379,114.231795,东西湖区,武汉市,湖北省,生活服务;物流速递;物流速递
德佑(航天·兴隆国际店),环湖中路与璟汇路交叉口东北140米,30.656316,114.226159,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
中国联通(金拓银湖时代自控社区厅),金拓银湖时代2栋G19,30.655547,114.226759,东西湖区,武汉市,湖北省,生活服务;电讯营业厅;中国联通营业厅
卡尔造型(金拓银湖时代店),金拓银湖时代G2-18号,30.655554,114.226706,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
21世纪不动产(金湖苑店),金银湖金拓银湖时代G2-20号商铺,30.655406,114.226726,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
中国体育彩票(环湖中路店),璟汇路与环湖中路交叉口东80米,30.655553,114.226347,东西湖区,武汉市,湖北省,生活服务;彩票彩券销售点;彩票彩券销售点
俏落凡新娘造型摄影工作室,庭瑞新汉口b5栋505室,30.657859,114.224978,东西湖区,武汉市,湖北省,生活服务;摄影冲印店;摄影冲印
郑氏专业修脚(金拓银湖时代店),金拓银湖时代,30.655557,114.22625,东西湖区,武汉市,湖北省,生活服务;洗浴推拿场所;洗浴推拿场所
福利彩票(璟汇路店),璟汇路与环湖中路交叉口东60米,30.655482,114.226298,东西湖区,武汉市,湖北省,生活服务;彩票彩券销售点;彩票彩券销售点
瑞帛美学馆,环湖中路庭瑞新汉口悦荟B5栋1012,30.658285,114.224579,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
壹家男士理髮馆,庭瑞新汉口B区5栋13楼1306号,30.658149,114.224777,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
庭瑞新汉口物业,环湖中路94号,30.659741,114.224803,东西湖区,武汉市,湖北省,生活服务;生活服务场所;生活服务场所
废品回收,马池路特1号附90号,30.654926,114.226571,东西湖区,武汉市,湖北省,生活服务;生活服务场所;生活服务场所
庭瑞新汉口售楼处,二号路与环湖中路交叉口西80米,30.659158,114.224586,东西湖区,武汉市,湖北省,生活服务;生活服务场所;生活服务场所
爱丽丝造型(沿海丽水佳园店),马池路特一号,30.654681,114.226569,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
菜鸟驿站(武汉庭瑞新汉口5栋4号店),环湖中路马池中路庭瑞新汉口5栋,30.658724,114.224201,东西湖区,武汉市,湖北省,生活服务;物流速递;物流速递
燕子专业缝纫,丽水家园D2-1-3-102,30.654551,114.226561,东西湖区,武汉市,湖北省,生活服务;生活服务场所;生活服务场所
庭悦荟招商运营中心,马池中路与环湖中路交叉口西北100米,30.658049,114.224134,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
马池墩社区江城蜂巢,马池东路与马池中路交叉口东南280米,30.657909,114.235262,东西湖区,武汉市,湖北省,生活服务;生活服务场所;生活服务场所
丝妍丽(庭瑞新汉口C区店),庭瑞新汉口南门旁,30.658619,114.223983,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
菜鸟驿站(武汉庭瑞新汉口c区3栋店),金银湖街道马池北路庭瑞新汉口c区3栋二单元103室,30.660225,114.224338,东西湖区,武汉市,湖北省,生活服务;物流速递;物流速递
住商不动产(二号路店),庭瑞新汉口5-12号商铺,30.658521,114.223886,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
21世纪不动产(庭瑞新汉口店),庭瑞新汉口C区,30.658503,114.223741,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
香港磁立瘦健康形体美学机构(庭瑞新汉口C区店),庭瑞新汉口5-15商铺香港磁立瘦,30.658529,114.223724,东西湖区,武汉市,湖北省,生活服务;美容美发店;美容美发店
易居房友(林家合作店),金银湖庭瑞新汉口6栋3号商铺易居房友,30.658463,114.223517,东西湖区,武汉市,湖北省,生活服务;中介机构;中介机构
顶脊美式按摩,金银潭马池中路9号汉口印象二期B2.3号楼三楼商铺,30.657721,114.223441,东西湖区,武汉市,湖北省,生活服务;洗浴推拿场所;洗浴推拿场所
高价收铁铜铝,万丰·丰泽园东南门东50米,30.661532,114.224467,东西湖区,武汉市,湖北省,生活服务;生活服务场所;生活服务场所
