店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
新澳阳光幼儿园,马池中路特5号,30.660238,114.229722,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市东西湖区金银湖尚美幼儿园,马池东路与马池中路交叉口西南200米,30.657463,114.232093,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市东西湖区金银湖街老年学校,马池中路105号联通佳苑,30.655545,114.231157,东西湖区,武汉市,湖北省,科教文化服务;学校;成人教育
金银湖第二小学,金银湖街四号路以南,30.654602,114.230871,东西湖区,武汉市,湖北省,科教文化服务;学校;小学
武汉市东西湖区马池小学,马池中路1附101号附近,30.654838,114.226005,东西湖区,武汉市,湖北省,科教文化服务;学校;小学
将军路奥林匹克尚阳幼儿园,奥园路与常青北路交叉口东北220米,30.657253,114.235499,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
华中师大一附中美联实验学校,美联奥林匹克花园第2326栋裙楼,30.656386,114.236433,东西湖区,武汉市,湖北省,科教文化服务;学校;中学
家美尚好幼儿园,马池西路与马池北路交叉口东南60米,30.659851,114.222512,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉轻工大学,积学路与环湖中路交叉口西北40米,30.652705,114.224882,东西湖区,武汉市,湖北省,科教文化服务;学校;高等院校
银湖苑幼儿园,金银湖马池中路,30.658161,114.221047,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
万向童年幼儿园(暂停营业),东环湖中路与马池北路交叉口西50米万丰·丰泽园附近,30.662816,114.222709,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
万向童年丰泽园幼儿园,金银潭马池北路万丰丰泽园,30.662816,114.222705,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉轻工大学金银湖校区,环湖中路36号,30.653323,114.222412,东西湖区,武汉市,湖北省,科教文化服务;学校;高等院校
东西湖区金银湖尚品幼儿园,金海路与环湖中路交叉口西140米,30.664908,114.223842,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市直属机关育才幼儿园,环湖中路与马池路交叉口东北140米,30.65062,114.226593,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市丽水育才幼儿园,金银湖马池路特1号,30.65063,114.226541,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
爱都幼儿园,马池路特1号都市假日小区,30.650077,114.23083,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
东方银湖聚龙幼儿园,环湖路69号金银湖别墅东方银湖,30.659884,114.219576,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
东西湖区金海苑知音托育园,环湖中路金海苑小区10号楼红色物业旁,30.666237,114.223991,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市东西湖区美联奥林匹克幼儿园,美联奥林匹克花园1期,30.650353,114.234978,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
尚稚幼儿园,奥园东路与碧水南路交叉口东南160米,30.654138,114.239253,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市常青第一学校金银湖校区,马池北路与汀香北路交叉口西160米,30.658702,114.217499,东西湖区,武汉市,湖北省,科教文化服务;学校;中学
武汉市金银湖中学,环湖路71号,30.659274,114.216881,东西湖区,武汉市,湖北省,科教文化服务;学校;中学
常青实验小学,常青花园四小区,30.648421,114.235587,东西湖区,武汉市,湖北省,科教文化服务;学校;小学
汀香水榭幼儿园,汀香水榭小区内,30.652824,114.217765,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
乐童银湖水榭幼儿园,环湖路73号银湖水榭小区,30.662116,114.216718,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
将军路尚雅幼儿园,将军路街道办事处姑李路456号将军路(愿景城小学旁),30.659135,114.243366,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市实验幼儿园博爱园,常青北路附近,30.647505,114.236054,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市东西湖区愿景小学,姑李路452号,30.658882,114.244141,东西湖区,武汉市,湖北省,科教文化服务;学校;小学
武汉市常青树实验学校,常青花园四小区康居三路特1号,30.645661,114.234747,东西湖区,武汉市,湖北省,科教文化服务;学校;中学
武汉市东西湖区恋湖小学,环湖路马池中路,30.657004,114.213715,东西湖区,武汉市,湖北省,科教文化服务;学校;小学
武汉市常青第一中学,金银潭大道5号(金银潭地铁站A2口步行260米),30.652561,114.244185,东西湖区,武汉市,湖北省,科教文化服务;学校;中学
武汉睿升学校,马池路航天银湖湾小区115栋,30.648737,114.217942,东西湖区,武汉市,湖北省,科教文化服务;学校;学校
老年大学(常青花园分校),学府北路与康居四路交叉口西160米,30.645776,114.237747,东西湖区,武汉市,湖北省,科教文化服务;学校;成人教育
蒙萌学府幼儿园,金银湖街道环湖一路水印桃源,30.665982,114.214562,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
常青实验小学(三校区),香樟三路三街2号,30.643297,114.233765,东西湖区,武汉市,湖北省,科教文化服务;学校;小学
武汉市常青童梦幼儿园,学府北路与康居五路交叉口西北100米,30.647504,114.243476,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
市直机关常青育才幼儿园,常青花园新区街道管理委员会复兴新村8栋市直机关,30.642586,114.233541,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市东西湖区实验幼儿园,康居五路与学府北路交叉路口北160米,30.648653,114.244872,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉东西湖晶晶恋湖幼儿园,金银湖恋湖家园,30.6526,114.211158,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市实验幼儿园橡树园区,康居三路二巷5号,30.642474,114.236962,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市常青树实验学校,常青花园新区街道常青花园学府北路,30.647533,114.245041,东西湖区,武汉市,湖北省,科教文化服务;学校;小学
武汉市将军路中学,金银潭大道9号,30.655451,114.249291,东西湖区,武汉市,湖北省,科教文化服务;学校;中学
东西湖尚达幼儿园,环湖中路65号,30.669892,114.213789,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
教学楼,常青树实验学校东南门旁,30.647485,114.246123,东西湖区,武汉市,湖北省,科教文化服务;学校;学校
旺斯达国际幼儿园(顺驰泊林分园),环湖路环湖1号顺驰柏林小区,30.667379,114.211439,东西湖区,武汉市,湖北省,科教文化服务;学校;幼儿园
武汉市万科高尔夫小学,万科高尔夫城市花园北门,30.6472,114.213032,东西湖区,武汉市,湖北省,科教文化服务;学校;小学
