店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
芙蓉兴盛璟汇超市(航天·兴隆国际店),马池中路航天兴隆国际一期2栋一层商业1室,30.658121,114.228559,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
燃果园(新澳阳光城店),环湖中路东铁塔路新澳阳光城正门中百超市旁边,30.659488,114.23011,东西湖区,武汉市,湖北省,购物服务;综合市场;果品市场
family52便利店,航天兴隆国际1-商4号,30.657909,114.227109,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
惠品果蔬(航天·兴隆国际店),马池中路航天兴隆国际,30.657802,114.227006,东西湖区,武汉市,湖北省,购物服务;综合市场;果品市场
俊泽烟酒店(马池中路),航天·兴隆国际北门西220米,30.657743,114.226679,东西湖区,武汉市,湖北省,购物服务;专卖店;烟酒专卖店
非凡超市(联通佳苑西),环湖中路105号联通佳苑2栋,30.655589,114.229906,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
Y.y宠物生活馆(航天·兴隆国际店),航天兴隆国际7-1商6,30.657409,114.226538,东西湖区,武汉市,湖北省,购物服务;专卖店;宠物用品店
友家便利店(璟汇路店),联通佳苑,30.6556,114.230302,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
贵州习酒烟酒商贸,马池中路南环湖中东航天兴隆国际6栋1层商铺,30.656917,114.226395,东西湖区,武汉市,湖北省,购物服务;专卖店;烟酒专卖店
黑米萌宠(金拓·银湖时代店),环湖中路183号金拓·银湖时代门面G5S3-9,30.655567,114.227695,东西湖区,武汉市,湖北省,购物服务;专卖店;宠物用品店
博雅教育书店,璟汇路3附35联通佳苑,30.655487,114.23158,东西湖区,武汉市,湖北省,购物服务;专卖店;书店
方太社区5S店,璟汇路与环湖中路交叉口东180米,30.655526,114.227366,东西湖区,武汉市,湖北省,购物服务;家居建材市场;厨卫市场
雅迪电动车(马池店),马池地铁站旁璟汇路金拓银湖时代1号门,30.655384,114.227559,东西湖区,武汉市,湖北省,购物服务;专卖店;自行车专卖店
贵州茅台酒股份有限公司出品,联通佳苑,30.655507,114.232047,东西湖区,武汉市,湖北省,购物服务;专卖店;烟酒专卖店
汉森便利店,环湖中路与璟汇路交叉口东北120米,30.656257,114.226305,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
曙涛烟酒(金拓银湖时代店),金拓银湖时代,30.655573,114.227071,东西湖区,武汉市,湖北省,购物服务;专卖店;烟酒专卖店
伊利生鲜超市(金拓·银湖时代店),马池环湖中路183号,30.655411,114.227324,东西湖区,武汉市,湖北省,购物服务;购物相关场所;购物相关场所
希兵便利店,环湖中路与璟汇路交叉口东北120米,30.656323,114.226216,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
爱玛电动车(马池常青店),马池金拓银湖时代外商G2-27爱玛电动车,30.655546,114.227082,东西湖区,武汉市,湖北省,购物服务;专卖店;专营店
艾康生活馆(金拓银湖时代店),金拓银湖时代南门西50米,30.65556,114.226815,东西湖区,武汉市,湖北省,购物服务;购物相关场所;购物相关场所
燕子窗帘(沿海丽水佳园店),璟汇路与环湖中路交叉口东120米,30.655072,114.226766,东西湖区,武汉市,湖北省,购物服务;家居建材市场;布艺市场
中百仓储(庭瑞新汉口店),环湖中路和马池中路交叉口,30.658105,114.224799,东西湖区,武汉市,湖北省,购物服务;超级市场;超市
LENS LOOK亮视点眼镜(庭悦荟中百仓储店),马池中路9号(庭悦荟中百仓储入口),30.658139,114.224704,东西湖区,武汉市,湖北省,购物服务;专卖店;眼镜店
依米数码(沿海丽水佳园店),丽水佳园D2-2栋,30.653973,114.229147,东西湖区,武汉市,湖北省,购物服务;家电电子卖场;数码电子
庭瑞新汉口芙蓉兴盛便利超市(马池北路店),庭瑞新汉口南门东90米,30.658718,114.224344,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
庭悦荟,环湖中路与马池中路交叉路西北(汉口印象),30.657986,114.224323,东西湖区,武汉市,湖北省,购物服务;商场;商场
可多便利708号庭瑞新汉口店,马池中路176号附4号,30.658724,114.22419,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
尚品国粹馆(庭瑞新汉口C区店),庭瑞新汉口C区,30.658692,114.224147,东西湖区,武汉市,湖北省,购物服务;购物相关场所;购物相关场所
颂心便利店,美联奥林匹克花园5期西门,30.657802,114.235211,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
天鲜配(美联奥林匹克花园5期店),美联·奥林匹克花园5期,30.657672,114.235275,东西湖区,武汉市,湖北省,购物服务;购物相关场所;购物相关场所
沐溪花园,金银湖办事处马池中路9号家美天晟阳光城2期B3号楼1层31,30.657897,114.223757,东西湖区,武汉市,湖北省,购物服务;花鸟鱼虫市场;花卉市场
丰业烟酒,马池中路二号路庭瑞新汉口二期B2B3栋,30.657937,114.223689,东西湖区,武汉市,湖北省,购物服务;专卖店;烟酒专卖店
美宜家超市,马池中路庭瑞新汉口B1栋814室,30.657689,114.223722,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
婵婵文具店,将军路街道奥林匹克花园5期41栋一楼11号门面,30.657388,114.235747,东西湖区,武汉市,湖北省,购物服务;购物相关场所;购物相关场所
华泽惠友数码生活馆,二号路与马池西路交叉口东140米,30.6577,114.223514,东西湖区,武汉市,湖北省,购物服务;家电电子卖场;数码电子
鑫福缘平价超市(沿海丽水佳园店),马池路丽水佳园1号附95号,30.654222,114.225804,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
非凡超市(马池北路店),万丰·丰泽园东南门东60米,30.661546,114.224528,东西湖区,武汉市,湖北省,购物服务;便民商店/便利店;便民商店/便利店
佳选超市(环湖中路店),金银潭大道环湖中路马池北路万丰丰泽园29栋,30.661264,114.223854,东西湖区,武汉市,湖北省,购物服务;超级市场;超市
回力飞跃授权专卖店,庭瑞新汉口悦荟B1栋一楼28/,30.657149,114.222927,东西湖区,武汉市,湖北省,购物服务;体育用品店;体育用品店
楼下佰佳生鲜(丰泽园店),万丰·丰泽园东南2门东60米,30.661127,114.223504,东西湖区,武汉市,湖北省,购物服务;综合市场;农副产品市场
玲玲平价超市(巴黎奥运村西南店),美联奥林匹克花园19栋6号,30.654133,114.234434,东西湖区,武汉市,湖北省,购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店
