店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
兴业银行武汉金银湖社区支行,环湖中路176号庭瑞新汉口二期7栋17号商铺1-2层,30.658024,114.222472,东西湖区,武汉市,湖北省,金融保险服务;银行;银行
兴业银行24小时自助银行,马池西路与二号路交叉口东北40米,30.658025,114.222335,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;兴业银行ATM
中国工商银行(马池中路支行),马池中路9号,30.656692,114.221486,东西湖区,武汉市,湖北省,金融保险服务;银行;中国工商银行
中国农业银行24小时自助银行(外环东路),马池路武汉轻工大学金银湖校区,30.654377,114.222652,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;中国农业银行ATM
保险社区服务中心,马池中路与马池西路交叉口西北120米,30.656945,114.221014,东西湖区,武汉市,湖北省,金融保险服务;金融保险服务机构;金融保险机构
招商银行(武汉金银潭支行),将军路街办事处金银潭大道1号永旺梦乐城金银潭店1层181号,30.649895,114.237346,东西湖区,武汉市,湖北省,金融保险服务;银行;招商银行
招商银行ATM(永旺梦乐城),将军路街办事处金银潭大道1号永旺梦乐城金银潭店1层181号,30.649846,114.237402,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;招商银行ATM
交通银行(武汉金银湖支行),金银湖马池路三江航天银湖湾1栋,30.649481,114.222119,东西湖区,武汉市,湖北省,金融保险服务;银行;交通银行
交通银行24小时自助银行(武汉金银湖支行),金银湖三江马池路航天银湖湾1栋附近,30.649461,114.222144,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;交通银行ATM
汉口银行(金银潭支行),康居五路18号金银潭广场F1层,30.649947,114.243327,东西湖区,武汉市,湖北省,金融保险服务;银行;银行
邻里金融,金银潭广场东北门旁(金银潭地铁站B2口步行50米),30.649897,114.243375,东西湖区,武汉市,湖北省,金融保险服务;金融保险服务机构;金融保险机构
汉口银行ATM(金银潭支行),康居五路城市便捷酒店(金银潭地铁站店),30.649802,114.243384,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;自动提款机
兴业银行24小时自助银行,金银潭地铁站B2口步行50米,30.650136,114.243719,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;兴业银行ATM
中国光大银行24小时自助银行(金银潭社区支行),金银潭广场东北门旁(金银潭地铁站B2口步行60米),30.649771,114.243436,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;中国光大银行ATM
中国光大银行(金银潭社区支行),金银潭广场东北门旁(金银潭地铁站B2口步行70米),30.649694,114.243412,东西湖区,武汉市,湖北省,金融保险服务;银行;中国光大银行
兴业银行(常青金银潭社区支行),康居五路与金银潭大道辅路交叉口东南60米,30.650139,114.243844,东西湖区,武汉市,湖北省,金融保险服务;银行;兴业银行
中国农业银行(常青花园支行),常青花园学府北路53号四小区旁,30.644952,114.237018,东西湖区,武汉市,湖北省,金融保险服务;银行;中国农业银行
中国农业银行24小时自助银行,常青花园常青花园四小区商网2号门面,30.644919,114.236977,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;中国农业银行ATM
中国邮政储蓄银行24小时自助银行(学府北路营业所),学府北路55号附近,30.644746,114.236713,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;中国邮政储蓄银行ATM
中国邮政储蓄银行(学府北路营业所),学府北路45号,30.644743,114.236709,东西湖区,武汉市,湖北省,金融保险服务;银行;中国邮政储蓄银行
民生银行常青花园金融便民店,学府北路与康居三路交叉口北40米,30.644564,114.236458,东西湖区,武汉市,湖北省,金融保险服务;金融保险服务机构;金融保险机构
中国邮政24小时自助银行服务(学府北路营业所),常青花园四小区东南门西南260米,30.643948,114.236018,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;自动提款机
中国工商银行24小时自助银行(常青花园支行)(装修中),学府北路37号,30.643894,114.235988,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;中国工商银行ATM
中国工商银行(常青花园支行),常青花园学府北路37号,30.643818,114.235933,东西湖区,武汉市,湖北省,金融保险服务;银行;中国工商银行
中国银行ATM(常青北路),常青北路240-1号,30.637933,114.23117,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;中国银行ATM
国元证券,常青花园新区街道武汉常青花园武商量贩店十二楼,30.63949,114.239008,东西湖区,武汉市,湖北省,金融保险服务;证券公司;证券公司
武汉市将军路资产管理有限公司,将军一路将军新村-3期,30.652801,114.252735,东西湖区,武汉市,湖北省,金融保险服务;金融保险服务机构;金融保险机构
中国银行(武汉青年支行),常青花园常青北路240-1号,30.637805,114.231153,东西湖区,武汉市,湖北省,金融保险服务;银行;中国银行
招商银行24小时自助银行(武汉常青花园社区支行),学府南路116号(轻工大学地铁站C口步行240米),30.638197,114.234626,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;招商银行ATM
招商银行(常青花园社区支行),学府南路116号(轻工大学地铁站A口步行250米),30.638149,114.234575,东西湖区,武汉市,湖北省,金融保险服务;银行;招商银行
中国农业银行24小时自助银行(将军路支行),将军一路,30.652106,114.252715,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;中国农业银行ATM
中国农业银行(武汉将军路支行),将军新村西1门旁,30.652102,114.25273,东西湖区,武汉市,湖北省,金融保险服务;银行;中国农业银行
国元证券常青花园花园中路证券营业部,常青花园新区街道管理委员会常青花园花园中路8区1号12楼,30.639328,114.239438,东西湖区,武汉市,湖北省,金融保险服务;证券公司;证券营业厅
中国建设银行24小时自助银行(常青花园支行),常青花园中路117号附7号,30.639732,114.240735,东西湖区,武汉市,湖北省,金融保险服务;自动提款机;中国建设银行ATM
