店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
魔方游园,马池中路与马池东路交叉口西160米,30.659171,114.231242,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
金银湖街道丽水社区文化广场,马池路1-40号附近,30.650494,114.22632,东西湖区,武汉市,湖北省,风景名胜;公园广场;城市广场
光影花园,金银潭大道与奥园东路交叉口东北100米,30.650395,114.24145,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园广场
金银潭游园,姑李路车场南路(常青综合医院对面),30.656873,114.244779,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
岱园,环湖路辅路与亲湖路交叉口西260米,30.661688,114.211839,东西湖区,武汉市,湖北省,风景名胜;风景名胜;风景名胜
常青鲨鱼公园,康居六路常青花园六小区,30.646884,114.246082,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
常青花园中心公园,常青花园地铁站A出口旁,30.641779,114.24074,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
紫台广场,金银湖街道万科高尔夫城市花园8803栋紫台广场,30.645767,114.212656,东西湖区,武汉市,湖北省,风景名胜;公园广场;城市广场
观堂国文,学府侧路与学府南路交叉口东约100米,30.638443,114.235488,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
朝园,将军新村五期,30.655421,114.253393,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
将军路文化广场,将军路97号,30.649874,114.255456,东西湖区,武汉市,湖北省,风景名胜;公园广场;城市广场
高尔夫游园,金山大道万科高尔夫城市花园小区南口,30.639337,114.212646,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
丽景广场,金南一路5-31号(园博园北地铁站E口旁),30.634334,114.223457,东西湖区,武汉市,湖北省,风景名胜;公园广场;城市广场
桃李园,风华路常青花园,30.634066,114.238448,东西湖区,武汉市,湖北省,风景名胜;风景名胜;风景名胜
金银湖湿地公园-鸟岛,,30.653796,114.199292,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
常青花园张之洞公园,香樟一路和康居一路交叉口对面,30.633654,114.241999,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
康居拾光游园,常青北路与香樟一路一街交叉口西北80米,30.631517,114.234585,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
常青花园堤边公园,常青花园香樟一路,30.631949,114.239055,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
怡和亭,康居一路与香樟一路交叉口西100米,30.631282,114.236624,东西湖区,武汉市,湖北省,风景名胜;风景名胜;风景名胜
银湖碰碰,环湖东路与金银湖东一路交叉口东160米,30.636877,114.208259,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
汉口金银潭文化广场,金银潭大道金银潭文化广场·楚商大厦,30.659574,114.263201,东西湖区,武汉市,湖北省,风景名胜;公园广场;城市广场
杉杉湿地,园博园北路与金南二路交叉口西北140米,30.631544,114.216019,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
新西兰园,张公堤公园西段中国(武汉)国际园林博览会内,30.630053,114.220709,东西湖区,武汉市,湖北省,风景名胜;风景名胜;风景名胜
慕爱庄园,武汉园博园内(北侧),30.630035,114.220286,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
肯尼亚园,张公堤公园西段中国(武汉)国际园林博览会内,30.62996,114.219712,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园·VILLA,武汉园博园内(北侧),30.629677,114.220603,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
德国园,张公堤公园西段中国(武汉)国际园林博览会内,30.629503,114.220534,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
时光艺术厅,武汉园博园内(北侧),30.629329,114.221007,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
荷兰园,张公堤公园西段中国(武汉)国际园林博览会内,30.629419,114.220336,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-巴西园,张公堤公园西段中国(武汉)国际园林博览会内,30.629492,114.219887,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉市园博园管理中心,武汉园博园北门,30.630652,114.215864,东西湖区,武汉市,湖北省,风景名胜;风景名胜;风景名胜
瑞典园,张公堤公园西段中国(武汉)国际园林博览会内,30.629262,114.220168,东西湖区,武汉市,湖北省,风景名胜;风景名胜;风景名胜
武汉园博园·MEET,武汉园博园内(北侧),30.629281,114.219472,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-国际风情园,常安路与金银湖南街交叉口西240米,30.629272,114.21936,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
白马泾公园,环湖中路以南,30.675382,114.199836,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
金湖门,金银湖南一街与金银湖西一路交叉口西180米,30.638219,114.201965,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-园博园广场,张公堤公园西段中国(武汉)国际园林博览会内,30.628595,114.217545,东西湖区,武汉市,湖北省,风景名胜;公园广场;城市广场
东西湖极地海洋公园管理办公室,金银潭大道东200米东西湖极地海洋公园,30.659725,114.266518,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-泛花海,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.628027,114.218473,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-再生园,武汉园博园(东北角),30.626705,114.225859,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
金实秋,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627887,114.218859,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
蝶来亭,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627702,114.219386,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-黄鹤楼创意园,张公堤公园西段中国(武汉)国际园林博览会南区景区内,30.626426,114.226702,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
沉淀园,武汉园博会,30.626503,114.225238,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
黄塘湖公园,金银潭大道,30.663173,114.266629,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
仰山廊,金银湖南街与常安路交叉口南180米,30.62692,114.221956,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-乡园,武汉园博园(东北角),30.626596,114.22403,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
劳模林,武汉园博园内(东侧),30.626226,114.227589,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
问茶坪,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627616,114.218497,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-园博园(北区),常青路(东方马城),30.626219,114.226746,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
掌园儿,常青立交桥与三环线交叉口东北100米,30.626286,114.225797,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
香涛峰,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627058,114.220484,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-荆山景区,张公堤公园西段中国(武汉)国际园林博览会内,30.627525,114.21831,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
石榴红,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.626487,114.22202,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
姑嫂树市政公园,姑嫂树路,30.635237,114.256379,江汉区,武汉市,湖北省,风景名胜;公园广场;公园
三友亭,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.626751,114.220264,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
嘉德公园,发展一路与江兴路交叉口西北200米,30.625891,114.234901,江汉区,武汉市,湖北省,风景名胜;公园广场;公园
姑嫂树游园,姑嫂树路与新湾路相交道口西北侧,30.635263,114.256906,江汉区,武汉市,湖北省,风景名胜;公园广场;公园
武汉园博园-台湾园(三环线),张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.626043,114.222397,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-绿洲人家,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627578,114.215604,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
红山寺(汉总花圈寿衣批发分店),新湾五路与长港路交叉口西北60米,30.632169,114.25328,江汉区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
寻芳谷,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.62641,114.217785,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-北部3号服务区,三环线武汉园博园内(西北角),30.626658,114.216389,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-主题园(北区),张公堤公园西段中国(武汉)国际园林博览会南区景区内,30.626328,114.217287,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
南通劲园,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.62717,114.214437,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-东桥,三环线武汉园博园(东北角),30.624993,114.221974,硚口区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-呼和浩特园,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627256,114.213615,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
揽月园,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627078,114.214061,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
河湟人家,张公堤公园西段中国(武汉)国际园林博览会内,30.627298,114.213436,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-滁州园,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.626571,114.215351,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
金银湖公园南,金山大道与航天路交叉口西160米,30.641675,114.193761,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
西宁园(开来·银湖鑫城东南),张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627016,114.213377,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-晋中园,武汉园博会,30.626543,114.214641,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
常德园(开来·银湖鑫城南),张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627256,114.212395,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
西安园,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627389,114.211995,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-连云港园,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.626515,114.214033,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
长江文明馆(武汉自然博物馆),金南二路8号,30.624292,114.222794,硚口区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉自然博物馆 (贝林)大河生命馆,张公堤公园西段中国(武汉)国际园林博览会内,30.624196,114.222801,硚口区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
海绵园区,张公堤公园西段中国(武汉)国际园林博览会内,30.624024,114.224074,硚口区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
月季花园,金银湖北街西侧,30.645182,114.192244,东西湖区,武汉市,湖北省,风景名胜;公园广场;公园
龙泉亭,三环线武汉园博园内(西北角),30.627538,114.211019,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-泸州园,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.62734,114.211087,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-自贡园,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.626391,114.213365,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
泸州龙脑桥,张公堤公园西段中国(武汉)国际园林博览会内,30.627347,114.210981,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-李小龙像,张公堤公园西段中国(武汉)国际园林博览会内,30.626032,114.214291,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-叶问像,张公堤公园西段中国(武汉)国际园林博览会内,30.625947,114.214426,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
黄飞鸿像,三环线武汉园博园内(西北角),30.626029,114.214169,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-寿光园,园博园东路9号园博园,30.626617,114.212565,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
大同天下,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.627065,114.211466,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-岳阳园,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.626845,114.211972,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
中国(武汉)国际园林博览会北厅,张公堤公园西段中国(武汉)国际园林博览会内,30.624106,114.221219,硚口区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武翰佛山,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.625866,114.214401,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
同仁里,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.625915,114.214257,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
柳毅井,张公堤公园西段中国(武汉)国际园林博览会内,30.626869,114.211665,东西湖区,武汉市,湖北省,风景名胜;风景名胜;风景名胜
武汉园博园-佛山街,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.625884,114.214065,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
一代宗师武馆,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.625824,114.214104,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
佛山园,武汉园博会,30.625771,114.21425,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
岭南大儒,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.625793,114.214129,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-天下为公,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.625769,114.214155,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
武汉园博园-聊城园,张公堤公园西段中国(武汉)国际园林博览会南区景区内,30.623442,114.224418,硚口区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
岭南之光,张公堤公园西段中国(武汉)国际园林博览会北区景区内,30.625739,114.21422,东西湖区,武汉市,湖北省,风景名胜;风景名胜相关;旅游景点
