店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
荣运灌饼·烤冷面·凉皮(金银潭永旺店),环湖中路东铁塔路新澳阳光城西区1栋1层15室,30.659117,114.229421,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
千寻味(新澳阳光城店),马池中路新澳阳光城南门千寻味,30.659381,114.230467,东西湖区,武汉市,湖北省,餐饮服务;糕饼店;糕饼店
黑皮牛肉面(马池中路店),金银湖街马池中路南、环湖中路东航天·兴隆国际一期1栋1-2层商17,30.658007,114.227763,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
笼上蒸品(航天·兴隆国际店),马池中路升华现代城,30.657999,114.227693,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
美味轩(航天·兴隆国际店),马池中路与环湖中路交叉口东160米,30.657968,114.227509,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
汉马哥秘制牛骨面(新城璟汇店),航天·兴隆国际北门西160米,30.657912,114.227234,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
常青麦香园(兴隆国际店),航天兴隆国际一期第1幢1-2层商3号,30.657863,114.227118,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
郭记牛肉面馆(航天·兴隆国际店),马池中路与环湖中路交叉口东140米,30.657893,114.22722,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
中国兰州牛肉拉面(二号路店),马池中路与环湖中路交叉口东120米,30.658248,114.226983,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;清真菜馆
鸭血粉丝(金拓·银湖时代店),璟汇路与环湖中路交叉口东北180米,30.656022,114.227336,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
亮亮龙虾(新城璟汇店),环湖中路航天兴隆国际(马池地铁站C口步行190米),30.657073,114.226304,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
我家酒馆不打烊,马池中路与环湖中路交叉口东南100米,30.656959,114.22622,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
定记烧烤王,马池中路与环湖中路交叉口南60米,30.657218,114.226005,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;特色/地方风味餐厅
锅火火三汁焖锅(联通佳苑店),联通佳苑南3门旁,30.655508,114.231645,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
俭让老妈砂锅串串马池路店(金银潭分店),环湖中路航天兴隆国际西门口,30.656261,114.226467,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;火锅店
知知面点(金拓银湖时代店),马池片区东部、环湖路以东金拓·银湖时代G5、S3/单元1层商业号房,30.655485,114.227451,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
常青麦稻香热干面(金拓·银湖时代店),环湖中路183号金拓银湖时代G1栋一13,30.656235,114.226236,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
卢大师·襄阳牛肉面(庭瑞店),环湖中路183号金拓·银湖时代G2栋/单元1层商业号,30.655382,114.226892,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
酵焙坊(马池店),金拓银湖时代G2-13商铺,30.655556,114.226542,东西湖区,武汉市,湖北省,餐饮服务;糕饼店;糕饼店
南京小笼包鸭血粉丝(金拓·银湖时代店),金银湖街道金拓银湖时代G2-17号商铺,30.655376,114.226774,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
和善园包子,璟汇路G2-16,30.655499,114.226599,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
襄樊牛肉面(马池分店),马池片区东部环湖路以东金拓银湖时代G2幢单元1层7商业号房,30.655544,114.226317,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
路边摊小吃(金拓·银湖时代店),璟汇路北30米,30.655558,114.226217,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
仟吉(庭瑞新汉口店),庭瑞新汉口中百仓储入口旁,30.658072,114.224736,东西湖区,武汉市,湖北省,餐饮服务;糕饼店;糕饼店
麦当劳(庭瑞新汉口店),马池中路9号,30.657895,114.224537,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;麦当劳
哈尔滨饺子馆(庭瑞新汉口店),庭瑞新汉口南门东90米,30.658704,114.224358,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
鹏记热干面(马池中路店),庭瑞新汉口南门东60米,30.658672,114.224117,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
李记(庭瑞新汉口C区店),庭瑞新汉口C区,30.658631,114.224137,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
酷食塔KRUSTA美式牛肉汉堡(庭悦荟店),马池中路庭瑞新汉口b2栋商31号,30.658088,114.223927,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
BaoBaoKidsCafe,马池中路与环湖中路交叉口西120米,30.657869,114.223925,东西湖区,武汉市,湖北省,餐饮服务;咖啡厅;咖啡厅
鲍宝布克双语绘本馆,庭瑞新汉口B5栋6楼615,30.657869,114.223925,东西湖区,武汉市,湖北省,餐饮服务;咖啡厅;咖啡厅
