店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺名称,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
鲁磨路通道光谷广场(光谷广场地铁站C口步行240米),30.508144828824495,114.39370947405214,聚贤阁桑拿会所,洪山区,武汉市,湖北省,生活服务;洗浴推拿场所;洗浴推拿场所
民族大道光谷资本大厦,30.507181246676527,114.39287930370807,大西北烤肉王勇专卖(民族大道店),洪山区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
民院路1号光谷资本大厦F1层,30.506864179612048,114.39397467420535,创维(光谷资本大厦店),洪山区,武汉市,湖北省,购物服务;家电电子卖场;家电电子卖场
民族大道与光谷环岛交叉口南100米,30.506690329890233,114.39327246292763,长沙臭豆腐,洪山区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
尖东智能花园(光谷广场地铁站C口步行140米),30.50666534221074,114.39324145566106,蔡传记热干面(尖东智能花园店),洪山区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
尖东智能花园(光谷广场地铁站C口步行210米),30.50667638974531,114.39292936218916,中国体育彩票(尖东智能花园店),洪山区,武汉市,湖北省,生活服务;彩票彩券销售点;彩票彩券销售点
民院路1号光谷资本大厦B1层,30.507123019922773,114.39473292305881,苏宁易购(光谷店),洪山区,武汉市,湖北省,购物服务;家电电子卖场;苏宁
民院路1号光谷苏宁(光谷广场地铁站H口步行70米),30.50689608608391,114.39475495117583,中国移动(光谷苏宁营业厅),洪山区,武汉市,湖北省,生活服务;电讯营业厅;中国联通营业厅|生活服务;电讯营业厅;中国移动营业厅
尖东智能花园(光谷广场地铁站C口步行190米),30.506780436414946,114.39249423198427,玫瑰花香(尖东智能花园店),洪山区,武汉市,湖北省,购物服务;花鸟鱼虫市场;花卉市场
虎泉街336号(光谷广场地铁站C口步行140米),30.507713232342226,114.39210605018557,食鼎记麻辣香锅(鲁巷中医小区店),洪山区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
